Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,5.24,5.36,4.86,4.90,95300,4.90
2014-12-05,5.24,5.38,5.01,5.38,44300,5.38
2014-12-04,5.15,5.39,5.13,5.20,43800,5.20
2014-12-03,5.44,5.50,5.09,5.14,41800,5.14
2014-12-02,5.00,5.43,4.82,5.42,70100,5.42
2014-12-01,5.22,5.34,4.95,4.97,89200,4.97
2014-11-28,5.26,5.55,5.20,5.34,17300,5.34
2014-11-26,5.20,5.41,5.17,5.31,111800,5.31
2014-11-25,5.51,5.53,5.18,5.48,43600,5.48
2014-11-24,5.18,5.70,5.11,5.45,67300,5.45
2014-11-21,5.42,5.42,5.11,5.26,103700,5.26
2014-11-20,5.00,5.58,4.97,5.43,174100,5.43
2014-11-19,5.14,5.25,4.82,5.03,76400,5.03
2014-11-18,5.35,5.40,5.13,5.19,23100,5.19
2014-11-17,5.77,5.77,5.10,5.16,99100,5.16
2014-11-14,6.03,6.12,5.50,5.82,211900,5.82
2014-11-13,6.50,6.70,5.90,6.18,238600,6.18
2014-11-12,6.50,6.77,6.25,6.40,390100,6.40
2014-11-11,6.52,6.80,6.14,6.50,142700,6.50
2014-11-10,6.85,6.85,6.37,6.58,46800,6.58
2014-11-07,6.44,6.61,6.11,6.59,183100,6.59
2014-11-06,6.22,6.42,6.00,6.18,80900,6.18
2014-11-05,6.06,6.50,6.01,6.28,168000,6.28
2014-11-04,6.14,6.35,5.89,5.95,164400,5.95
2014-11-03,6.00,6.47,6.00,6.35,74600,6.35
2014-10-31,6.05,6.50,5.84,6.04,117300,6.04
2014-10-30,5.95,6.20,5.76,6.11,76400,6.11
2014-10-29,6.09,6.09,5.76,5.95,173100,5.95
2014-10-28,6.00,6.75,5.86,6.15,109800,6.15
2014-10-27,6.25,6.25,5.67,5.81,128000,5.81
2014-10-24,6.15,6.23,5.91,6.10,98900,6.10
2014-10-23,6.58,6.60,6.01,6.03,112900,6.03
2014-10-22,6.18,6.50,6.18,6.37,63100,6.37
2014-10-21,6.49,6.49,6.12,6.24,61200,6.24
2014-10-20,6.27,6.41,6.25,6.41,25800,6.41
2014-10-17,6.25,6.34,5.95,6.12,90200,6.12
2014-10-16,6.40,6.50,6.14,6.21,49900,6.21
2014-10-15,6.20,6.50,5.91,6.39,93100,6.39
2014-10-14,5.94,6.50,5.60,6.07,89500,6.07
2014-10-13,6.21,6.21,5.56,6.01,79800,6.01
2014-10-10,6.01,6.36,5.79,6.19,29000,6.19
2014-10-09,6.50,6.95,6.01,6.04,104900,6.04
2014-10-08,7.00,7.33,6.40,6.50,146100,6.50
2014-10-07,7.63,8.20,6.70,6.91,588200,6.91
2014-10-06,6.11,6.23,5.75,5.91,46800,5.91
2014-10-03,6.06,6.09,6.00,6.05,10800,6.05
2014-10-02,5.91,6.15,5.76,5.95,20600,5.95
2014-10-01,5.91,6.23,5.55,5.80,68700,5.80
2014-09-30,5.34,5.94,5.27,5.82,119900,5.82
2014-09-29,5.46,5.46,5.11,5.20,27900,5.20
2014-09-26,5.46,5.60,5.28,5.46,28600,5.46
2014-09-25,5.56,5.70,5.50,5.50,9600,5.50
2014-09-24,5.64,5.75,5.52,5.55,23900,5.55
2014-09-23,5.65,5.97,5.41,5.43,41700,5.43
2014-09-22,6.33,6.33,5.55,5.71,55600,5.71
2014-09-19,6.57,6.60,6.24,6.24,49700,6.24
2014-09-18,6.35,6.72,6.24,6.60,71200,6.60
2014-09-17,6.48,6.68,6.28,6.36,68300,6.36
2014-09-16,6.75,6.87,6.25,6.68,106300,6.68
2014-09-15,7.00,7.00,6.22,6.71,252000,6.71
2014-09-12,8.53,8.55,7.02,7.24,866400,7.24
2014-09-11,6.75,10.71,6.75,8.26,3697200,8.26
2014-09-10,6.00,6.00,5.77,5.85,11800,5.85
2014-09-09,5.78,6.25,5.71,6.00,36200,6.00
2014-09-08,5.49,5.68,5.38,5.68,27600,5.68
2014-09-05,5.28,5.52,5.24,5.33,23700,5.33
2014-09-04,5.15,5.26,4.50,5.23,10900,5.23
2014-09-03,5.19,5.20,4.95,5.17,25500,5.17
2014-09-02,4.73,5.20,4.73,5.07,12800,5.07
2014-08-29,4.60,4.80,4.30,4.68,9200,4.68
2014-08-28,4.60,4.60,4.50,4.60,3000,4.60
2014-08-27,4.53,4.70,4.49,4.50,16000,4.50
2014-08-26,4.49,4.60,4.45,4.55,15100,4.55
2014-08-25,4.56,4.56,4.41,4.41,1100,4.41
2014-08-22,4.49,4.50,4.40,4.40,3600,4.40
2014-08-21,4.33,4.50,4.25,4.40,11900,4.40
2014-08-20,4.38,4.50,4.26,4.40,3600,4.40
2014-08-19,4.59,4.60,4.26,4.49,23500,4.49
2014-08-18,4.52,4.65,4.52,4.53,13300,4.53
2014-08-15,4.52,4.70,4.52,4.56,6100,4.56
2014-08-14,4.61,4.76,4.52,4.55,16400,4.55
2014-08-13,4.70,4.92,4.60,4.60,14300,4.60
2014-08-12,4.68,4.70,4.51,4.70,7800,4.70
2014-08-11,4.60,4.60,4.50,4.60,7100,4.60
2014-08-08,4.25,4.70,4.25,4.65,20100,4.65
2014-08-07,4.41,4.50,4.12,4.25,17300,4.25
